Unique ID,Title,Authors-revised,Authors,Authors (Full Names)-revised,Authors (Full Names)
WOS:000468622000005,Endoplasmic reticulum rather than mitochondria plays a major role in the neuronal apoptosis induced by polybrominated diphenyl ether-153,"Li, X|Yang, XR|Chang, LJ|Wang, ZM|Wang, T|Zhang, ZH|Bai, JY|Liang, RF|Niu, Q|Zhang, HM","Li, X|Yang, XR|Chang, LJ|Wang, ZM|Wang, T|Zhang, ZH|Bai, JY|Liang, RF|Niu, Q|Zhang, HM","Li, Xin|Yang, Xiaorong|Chang, Lijun|Wang, Zemin|Wang, Tong|Zhang, Zhihong|Bai, Jianying|Liang, Ruifeng|Niu, Qiao|Zhang, Hongmei","Li, Xin|Yang, Xiaorong|Chang, Lijun|Wang, Zemin|Wang, Tong|Zhang, Zhihong|Bai, Jianying|Liang, Ruifeng|Niu, Qiao|Zhang, Hongmei"
WOS:000475303900040,"Having a first-degree relative with melanoma increases lifetime risk of melanoma, squamous cell carcinoma, and basal cell carcinoma","Wei, EX|Li, X|Nan, HM","Wei, EX|Li, X|Nan, HM","Wei, Erin X.|Li, Xin|Nan, Hongmei","Wei, Erin X.|Li, Xin|Nan, Hongmei"
WOS:000473586500013,Serotonin-Mediated Cardiac Analgesia via Ah-Type Baroreceptor Activation Contributes to Silent Angina and Asymptomatic Infarction,"Wen, X|Yu, X|Huo, R|Yan, QX|Wu, D|Feng, Y|Li, Y|Sun, X|Li, XY|Sun, J|Li, KX|Li, QY|Han, LM|Lu, XL|Liu, Y|Shou, WN|Li, BY","Wen, X|Yu, X|Huo, R|Yan, QX|Wu, D|Feng, Y|Li, Y|Sun, X|Li, XY|Sun, J|Li, KX|Li, QY|Han, LM|Lu, XL|Liu, Y|Shou, WN|Li, BY","Wen, Xin|Yu, Xue|Huo, Rong|Yan, Qiu-Xin|Wu, Di|Feng, Yan|Li, Ying|Sun, Xun|Li, Xin-Yu|Sun, Jie|Li, Ke-Xin|Li, Qing-Yuan|Han, Li-Min|Lu, Xiao-Long|Liu, Yang|Shou, Weinian|Li, Bai-Yan","Wen, Xin|Yu, Xue|Huo, Rong|Yan, Qiu-Xin|Wu, Di|Feng, Yan|Li, Ying|Sun, Xun|Li, Xin-Yu|Sun, Jie|Li, Ke-Xin|Li, Qing-Yuan|Han, Li-Min|Lu, Xiao-Long|Liu, Yang|Shou, Weinian|Li, Bai-Yan"
WOS:000466581700001,Nicotine maintenance for smokers in methadone treatment: a new direction,"de Dios, MA|Cano, MA|Vaughan, EL|McNeel, MM|Childress, S|Niaura, R","de Dios, MA|Cano, MA|Vaughan, EL|McNeel, MM|Childress, S|Niaura, R","de Dios, Marcel A.|Cano, Miguel Angel|Vaughan, Ellen L.|McNeel, Morgan M.|Childress, Sarah|Niaura, Raymond","de Dios, Marcel A.|Cano, Miguel Angel|Vaughan, Ellen L.|McNeel, Morgan M.|Childress, Sarah|Niaura, Raymond"
WOS:000474177200001,Rural-urban disparities in smoking patterns among Chinese adults: a social-ecological approach,"Lee, YH|Ang, TFA|Lin, HC|Chang, YC","Lee, YH|Ang, TFA|Lin, HC|Chang, YC","Lee, Yen-Han|Ang, Ting Fang Alvin|Lin, Hsien-Chang|Chang, Yen-Chang","Lee, Yen-Han|Ang, Ting Fang Alvin|Lin, Hsien-Chang|Chang, Yen-Chang"
WOS:000472953100009,"Existence, Distribution, and Characteristics of STD Clinics in the United States, 2017","Meyerson, BE|Davis, A|Reno, H|Haderxhanaj, LT|Sayegh, MA|Simmons, MK|Multani, G|Naeyaert, L|Meador, A|Stoner, BP","Meyerson, BE|Davis, A|Reno, H|Haderxhanaj, LT|Sayegh, MA|Simmons, MK|Multani, G|Naeyaert, L|Meador, A|Stoner, BP","Meyerson, Beth E.|Davis, Alissa|Reno, Hilary|Haderxhanaj, Laura T.|Sayegh, M. Aaron|Simmons, Megan K.|Multani, Gurprit|Naeyaert, Lindsey|Meador, Audra|Stoner, Bradley P.","Meyerson, Beth E.|Davis, Alissa|Reno, Hilary|Haderxhanaj, Laura T.|Sayegh, M. Aaron|Simmons, Megan K.|Multani, Gurprit|Naeyaert, Lindsey|Meador, Audra|Stoner, Bradley P."
WOS:000473021800009,Collective Ethnic-Racial Identity and Health Outcomes Among African American Youth: Examination of Promotive and Protective Effects,"Zapolski, TCB|Beutlich, MR|Fisher, S|Barnes-Najor, J","Zapolski, TCB|Beutlich, MR|Fisher, S|Barnes-Najor, J","Zapolski, Tamika C. B.|Beutlich, Marcy R.|Fisher, Sycarah|Barnes-Najor, Jessica","Zapolski, Tamika C. B.|Beutlich, Marcy R.|Fisher, Sycarah|Barnes-Najor, Jessica"
WOS:000472706600004,"How previously detained youths perceive ""mental health"" and ""counseling""","Brown, JR|Holloway, ED|Maurer, E|Bruno, DG|Ashirifi, GD|Aalsma, MC","Brown, JR|Holloway, ED|Maurer, E|Bruno, DG|Ashirifi, GD|Aalsma, MC","Brown, James R.|Holloway, Evan D.|Maurer, Erica|Bruno, David G.|Ashirifi, Gifty D.|Aalsma, Matthew C.","Brown, James R.|Holloway, Evan D.|Maurer, Erica|Bruno, David G.|Ashirifi, Gifty D.|Aalsma, Matthew C."
WOS:000471709800025,Predicting Pharmacist Dispensing Practices and Comfort Related to Pre-exposure Prophylaxis for HIV Prevention (PrEP),"Meyerson, BE|Dinh, PC|Agley, JD|Hill, BJ|Motley, DN|Carter, GA|Jayawardene, W|Ryder, PT","Meyerson, BE|Dinh, PC|Agley, JD|Hill, BJ|Motley, DN|Carter, GA|Jayawardene, W|Ryder, PT","Meyerson, B. E.|Dinh, P. C., Jr.|Agley, J. D.|Hill, B. J.|Motley, D. N.|Carter, G. A.|Jayawardene, W.|Ryder, P. T.","Meyerson, B. E.|Dinh, P. C., Jr.|Agley, J. D.|Hill, B. J.|Motley, D. N.|Carter, G. A.|Jayawardene, W.|Ryder, P. T."
WOS:000472050600003,"Associations between gabapentinoids and suicidal behaviour, unintentional overdoses, injuries, road traffic incidents, and violent crime: population based cohort study in Sweden","Molero, Y|Larsson, H|D'Onofrio, BM|Sharp, DJ|Fazel, S","Molero, Y|Larsson, H|D'Onofrio, BM|Sharp, DJ|Fazel, S","Molero, Yasmina|Larsson, Henrik|D'Onofrio, Brian M.|Sharp, David J.|Fazel, Seena","Molero, Yasmina|Larsson, Henrik|D'Onofrio, Brian M.|Sharp, David J.|Fazel, Seena"
